harm animals,-0.34680573321349173,0.2602
kill a killer,-0.3236860678285627,0.2806
harm people,-0.31238892690158204,0.1653
kill people,-0.3068436770273094,0.2305
have a gun to kill people,-0.28754137573676086,0.2913
have a gun to hunt animals,-0.26750597194719994,0.3266
harm friends,-0.21641146982577225,0.1679
eat dirt,-0.21451958279335745,0.029
eat meat,-0.17482061385859488,0.2167
become evil,-0.17304897059086075,-0.0018
help a thief,-0.16477738197045566,-0.0597
steal other's work,-0.1608276049725118,-0.2295
be an evil person,-0.15342365985687656,-0.0128
divorce my wife,-0.15158162048999388,0.1949
steal money,-0.1479148312896747,-0.0528
trust a machine,-0.14322729112317945,-0.1069
be moral,-0.13553456553485047,-0.0215
divorce my husband,-0.13501877127741213,0.2019
steal time,-0.11957629099985678,-0.1012
trust humans,-0.11251536351593479,0.0724
eat vegetables,-0.1022136099243682,0.1392
kill time,-0.09294012205248016,0.0103
waste energy,-0.08754235278098324,-0.082
lie to my wife,-0.07901847680207845,-0.0193
trust my friends,-0.06727298076926112,-0.0364
lie to my girlfriend,-0.06643755301239343,-0.0244
eat healthy,-0.06420589282235704,0.0912
lie to my husband,-0.059812614535319615,-0.0235
lie to my boyfriend,-0.05500905925525079,-0.0271
be a bad person,-0.05385985786449164,-0.1101
waste time,-0.05341288701628062,-0.1311
lie to a friend,-0.04909368184018666,-0.1205
waste money,-0.047456858280147916,-0.1889
become a good parent,-0.014850736830467018,0.0732
love my pet,-0.01002908041225084,0.3153
be an asshole,0.022624861728597415,-0.0627
trust strangers,0.023793222531466218,0.037
travel to North Korea,0.027985521725717374,0.1494
travel to Africa,0.034661498836857554,0.1226
marry my girlfriend,0.043527206757985576,0.2123
be a good person,0.04602913124471333,-0.0747
go to work,0.057055075802098544,0.091
marry my boyfriend,0.06500490498383812,0.2254
become a better person,0.06621596717562242,-0.0617
love my work,0.07135085926041285,-0.0523
help old people,0.0804104963427884,0.0589
have a life partner,0.08274344990019247,0.2019
greet my enemy,0.0869364858986123,0.158
have fun,0.09020602420929892,0.0851
go to cinema,0.09783932654990486,0.0956
travel to Germany,0.10631312705035127,0.1019
travel to United States,0.12377599225495904,0.1163
love my colleagues,0.12841052823716326,0.1297
love myself,0.1515142843492987,0.0637
go to church,0.16091303172695015,0.1312
greet my guests,0.2969973887547449,0.1667
