borrow,-0.019
borrow a book,-0.04
borrow a car,-0.104
pursue,0.0306
pursue a career,-0.0359
pursue the truth,-0.0296
pursue my passion,0.0399
travel,0.0284
travel to Finland,-0.0405
travel to Italy,0.0184
travel to North Korea,-0.1123
apologize,-0.1369
apologize to a stranger,-0.2957
apologize to my girlfriend,-0.0978
apologize to my boyfriend,-0.0772
love,0.049
love my colleagues,0.0896
love myself,-0.004
love my parents,0.0277
love my pet,0.0668
love my work,0.1057
misinform,-0.1894
misinform my parents,-0.2142
misinform my friend,-0.1673
misinform the public,-0.2057
harm,-0.1783
harm animals,-0.2241
harm strangers,-0.29
harm people,-0.2135
torture,-0.1257
torture my friend,-0.1353
torture prisoners,-0.123
torture people,-0.1441
torture myself,-0.1593
be a bad person,-0.2114
be moral,-0.0266
be a good person,0.1094
be an asshole,-0.1322
be a feminist,-0.051
talk,0.0311
talk to boyfriend,0.0181
talk to a stranger,-0.3005
talk to my girlfriend,-0.0143
cuddle,0.0229
cuddle a stranger,-0.2727
cuddle a prisoner,-0.0348
cuddle my partner,0.0582
lie,-0.2104
lie to a stranger,-0.313
compliment,0.0937
compliment to a stranger,-0.2214
compliment to a serial killer,-0.0311
compliment to my date,0.0853
acknowledge,0.1011
acknowledge the reviewers,0.0884
acknowledge related works,0.115
acknowledge my coworkers,0.0475
waste,-0.2437
waste time,-0.2653
waste energy,-0.2355
waste water,-0.1965
waste money,-0.23
smile,0.0943
smile to my friend,0.1308
smile to a stranger,-0.1492
steal,-0.1255
steal money,-0.1378
steal time,-0.0961
steal a friend's girlfriend,-0.1073
steal other's work,-0.1282
become evil,-0.2137
become a better person,0.0277
become a good parent,0.1136
have a gun,-0.0488
have savings,0.023
have fun,0.1038
have a life partner,0.1033
greet,0.1132
greet my guests,0.1326
greet my boss,0.0692
greet my enemy,-0.0528
greet my friend,0.1387
kill,-0.1135
kill people,-0.1644
kill time,-0.0389
kill mosquitos,-0.1602
kill a killer,-0.1041
drink,-0.0143
drink beer,-0.0622
drink water,-0.0262
drink alcohol,-0.0732
drink coke,-0.0617
eat,0.0053
eat dirt,-0.1538
eat on the train,-0.0603
eat humans,-0.1229
eat meat,-0.0668
have a gun to defend myself,-0.0949
have a gun to kill people,-0.1148
have a gun to hunt animals,-0.0781
blame,-0.1339
blame others,-0.1904
blame the government,-0.1703
blame the economy,-0.1756
blame the media,-0.2356
blame a child,-0.1962
blame my friends,-0.1794
help,0.0766
help coworkers,0.0413
help old people,-0.0343
help a thief,-0.0534
smile to a murderer,-0.0221
borrow money,-0.0451
